policy,training_seed,branch_index,run_dir,checkpoint,final_cumulative_return,annualized_return,annualized_volatility,max_drawdown,average_turnover,average_constraint_cost,average_effective_drawdown_budget_squared,average_allocation_constraint_raw_cost,average_concentration,maximum_single_asset_weight
Mean-step control,3,1,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,-0.06841301918029785,-0.06841280341686806,0.1638547022998418,0.17974166572093964,0.14409907162189484,0.0013094731839373708,0.015391984954476357,0.0,0.25306782126426697,0.4734859764575958
Mean-step control,3,2,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.22881722450256348,0.22881729243565174,0.14873024309102809,0.10155832767486572,0.10653699934482574,0.0012127801310271025,0.002944039413705468,0.0,0.260212242603302,0.4700664281845093
Mean-step control,3,3,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,-0.29707062244415283,-0.29707119683154726,0.22556346099009225,0.40681585669517517,0.11775652319192886,0.0007819190504960716,0.05114961788058281,0.0,0.27512744069099426,0.4653998613357544
Mean-step control,3,4,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,-0.006251811981201172,-0.00625141257315176,0.19462229787712557,0.17170168459415436,0.13211725652217865,0.00010790381202241406,0.005325237289071083,0.0,0.26746153831481934,0.4652464985847473
Mean-step control,3,5,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.16422653198242188,0.1642276593630656,0.13516984322931572,0.09974485635757446,0.13072718679904938,1.9547307601897046e-05,0.0029666831251233816,0.0,0.2509141266345978,0.457569420337677
Mean-step control,3,6,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.03200817108154297,0.03200801127440256,0.18701842832687107,0.15720929205417633,0.14310915768146515,0.0031913232523947954,0.005443105008453131,0.0,0.2574443221092224,0.4697308838367462
Mean-step control,3,7,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.16785669326782227,0.1678570344472221,0.1629195517602717,0.07099118828773499,0.12064339220523834,0.00022925520897842944,0.0025276197120547295,0.0,0.262121319770813,0.4617561995983124
Mean-step control,3,8,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.7041436433792114,0.7041439717774254,0.16690300062563296,0.0924757793545723,0.11138126254081726,0.0001443396758986637,0.002597436076030135,0.0,0.2641419768333435,0.45829901099205017
Mean-step control,3,9,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.12987065315246582,0.12987057708299,0.16608019588705555,0.1435193568468094,0.08834856748580933,0.0013057515025138855,0.004046711605042219,0.0,0.26381516456604004,0.4505839943885803
Mean-step control,3,10,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.17855024337768555,0.17855068301432198,0.17847583043946255,0.11428891867399216,0.09757096320390701,0.00011751017154892907,0.004824609495699406,0.0,0.2703556418418884,0.46171095967292786
Mean-step control,3,11,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.20549023151397705,0.2054900304214209,0.15868604145551168,0.08209992945194244,0.13488087058067322,4.1916780901374295e-05,0.002779184840619564,0.0,0.25146254897117615,0.4491676986217499
Mean-step control,3,12,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,-0.05105888843536377,-0.051059025527877555,0.18230459130432544,0.18104593455791473,0.12888215482234955,0.0013587409630417824,0.015356640331447124,0.0,0.2590060830116272,0.4631747007369995
Mean-step control,3,13,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.7216345071792603,0.7216331810753494,0.17047126234409607,0.06274967640638351,0.11549613624811172,3.812771410593996e-06,0.002502048620954156,0.0,0.2704988420009613,0.46637165546417236
Mean-step control,3,14,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,-0.03888881206512451,-0.0388887757716323,0.1240161479671566,0.1874822974205017,0.1156286671757698,0.00011706867371685803,0.010054280050098896,0.0,0.25529995560646057,0.46708187460899353
Mean-step control,3,15,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.12831735610961914,0.1283171601268429,0.18030257700751914,0.13901899755001068,0.11977558583021164,0.005205755587667227,0.003430451499298215,0.0,0.2635728120803833,0.4637586772441864
Mean-step control,3,16,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.23625171184539795,0.23625168153376075,0.14913218351629318,0.11211885511875153,0.10032740980386734,5.43724418093916e-05,0.003415570594370365,0.0,0.26412051916122437,0.46338510513305664
Mean-step control,3,17,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,-0.06247997283935547,-0.06248097362493776,0.19857184637116476,0.2361515909433365,0.11695998162031174,0.004489441402256489,0.010684567503631115,0.0,0.2657950222492218,0.46258988976478577
Mean-step control,3,18,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.17653048038482666,0.17653064085207393,0.09936272016719269,0.08173520863056183,0.10172314196825027,0.0012657485203817487,0.002511092694476247,0.0,0.25251057744026184,0.46433937549591064
Mean-step control,3,19,C:\Users\miaoj\Desktop\RCPO in trading\runs\simplex_v3.1_control_mean_step_rcpo_none_20260831_200138\seed_3,checkpoint_best_return.pt,0.08341026306152344,0.08341003594119822,0.19688176575709904,0.22139900922775269,0.1154128760099411,0.003699894528836012,0.010457286611199379,0.0,0.2673325836658478,0.47149911522865295
Constrained-neutral baseline,4,0,seed-specific-anchor,neutral_action,0.02963125705718994,0.029630318678091516,0.1774087005650507,0.14017963409423828,0.0,0.00028488351381383836,0.0037600831128656864,0.0,0.1787654310464859,0.27407407760620117
Constrained-neutral baseline,4,1,seed-specific-anchor,neutral_action,0.19902586936950684,0.19902571790906842,0.1791245501922932,0.13368837535381317,0.0,0.00017085914441850036,0.0032983925193548203,0.0,0.1787654310464859,0.27407407760620117
